"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.1785,0.82094,0.3092,0.0067221,0.55585,-0.0074184
0.17726,0.68779,0.44736,-0.015166,0.56366,-0.0056871
0.17682,0.5549,0.58324,-0.034291,0.56578,-0.0055314
0.17708,0.42272,0.71769,-0.095831,0.51348,0.0058264
0.17802,0.29085,0.85136,-0.15198,0.4106,0.012651
0.17985,0.15841,0.98463,-0.25581,0.24732,0.01202
0.19278,0.04596,1.1177,-0.3459,0.12263,-0.00022072
0.060638,1.218,0.054766,-0.030625,0.64162,0.018775
0.052275,1.0859,0.17711,0.0050415,0.69348,0.0089144
0.053126,0.95371,0.3132,-0.019669,0.7257,-0.0039244
0.053481,0.82126,0.44962,-0.038763,0.75257,0.027294
0.053521,0.68873,0.58467,-0.050471,0.74569,0.045368
0.053503,0.55629,0.7185,-0.055166,0.70496,0.052254
0.05341,0.42392,0.85173,-0.080549,0.64097,0.04127
0.052911,0.29194,0.98474,-0.11821,0.48063,0.023381
0.052085,0.16258,1.1177,-0.17952,0.28935,0.0086228
0.060114,0.049492,1.2506,-0.13518,0.14335,0.0011259
1.4217,0.048857,0.052559,0.027906,-0.31765,0.1371
1.2891,0.16123,0.048016,0.1311,-0.56725,0.03295
1.2891,0.045713,0.17204,-0.23346,-0.20263,0.27199
1.1565,0.29101,0.051056,0.17119,-0.75321,-0.0069118
1.1564,0.15791,0.16592,-0.22229,-0.27627,0.072569
1.1565,0.049558,0.30826,-0.50431,-0.11726,0.19933
1.0238,0.42396,0.052373,0.16231,-0.73289,-0.01352
1.0233,0.29099,0.16978,-0.14838,-0.35076,-0.041001
1.0233,0.16397,0.30574,-0.41844,-0.10825,0.0098805
1.0238,0.051316,0.44636,-0.67876,-0.066333,0.1044
0.89064,0.55703,0.052785,0.1186,-0.42696,-0.00038741
0.88936,0.42403,0.17176,-0.063183,-0.28158,-0.054532
0.88859,0.29412,0.30618,-0.28393,-0.17079,-0.054658
0.88935,0.16727,0.44458,-0.51754,-0.024804,-0.012588
0.89063,0.051886,0.58289,-0.75682,-0.047819,0.031931
0.75669,0.68957,0.052881,0.087341,-0.16312,0.0036635
0.75414,0.5567,0.17248,0.0040318,-0.17578,-0.024318
0.75175,0.425,0.30675,-0.15558,-0.11447,-0.050579
0.75172,0.29642,0.44356,-0.34934,-0.059998,-0.044336
0.75408,0.16843,0.58146,-0.54452,0.017086,-0.018002
0.75664,0.052009,0.71767,-0.78241,-0.029945,-0.0020827
0.62095,0.82178,0.052833,0.080547,-0.050084,0.0091257
0.61679,0.68907,0.17263,0.036454,-0.041878,0.0021331
0.61223,0.55642,0.30717,-0.059554,-0.0159,-0.02829
0.61013,0.42566,0.44328,-0.20501,0.026241,-0.042419
0.61209,0.29705,0.58036,-0.37144,0.040853,-0.033396
0.61657,0.1684,0.71672,-0.54538,0.063524,-0.018203
0.62079,0.05189,0.85139,-0.7695,-0.0065501,-0.015575
0.48199,0.95388,0.052504,0.084775,0.11559,0.0063269
0.47607,0.82135,0.17227,0.053015,0.12182,0.0051793
0.46959,0.68839,0.30756,-0.010343,0.14472,-0.017045
0.46503,0.55593,0.44389,-0.099352,0.1625,-0.031492
0.46495,0.42528,0.58033,-0.21169,0.1772,-0.033626
0.46926,0.29618,0.71612,-0.3487,0.15249,-0.023691
0.4756,0.16727,0.85092,-0.50782,0.11771,-0.014836
0.4816,0.051342,0.98463,-0.70781,0.023946,-0.016748
0.33901,1.0859,0.0514,0.035335,0.31615,0.0024675
0.33064,0.95363,0.171,0.042567,0.32382,0.0063619
0.32402,0.82087,0.30807,0.011411,0.34184,-0.0085606
0.31953,0.68793,0.44532,-0.03826,0.35742,-0.020609
0.31793,0.55557,0.58147,-0.1063,0.36289,-0.025375
0.31933,0.42436,0.71653,-0.19079,0.33836,-0.01928
0.32353,0.29407,0.8508,-0.2971,0.27346,-0.01003
0.32977,0.16418,0.98447,-0.43001,0.17614,-0.0067129
0.33815,0.049646,1.1177,-0.60177,0.061618,-0.01181
0.1939,1.218,0.048985,0.055546,0.47939,0.0012021
0.18057,1.0859,0.16869,0.051562,0.52272,0.0061061
0.17843,0.95352,0.30916,0.030422,0.53509,-0.0012149
0.17704,0.82094,0.44728,0.0047042,0.55391,-0.0027477
0.17634,0.68836,0.58313,-0.0059057,0.56753,-0.0048708
0.17628,0.55605,0.71756,-0.022678,0.56525,0.00095082
0.17683,0.42393,0.85124,-0.080595,0.50302,0.0079866
0.17792,0.29157,0.98454,-0.15413,0.41038,0.011045
0.17983,0.15863,1.1176,-0.24336,0.23794,0.0034504
0.19279,0.045984,1.2506,-0.39241,0.12387,-0.0019561
0.060651,1.3501,0.054771,-0.026227,0.60754,0.019963
0.052283,1.218,0.17711,0.0097365,0.65817,0.016398
0.053125,1.0859,0.31319,-0.0070951,0.69765,0.0015434
0.053462,0.95373,0.4496,-0.020904,0.73702,0.029676
0.053474,0.82149,0.58464,-0.026914,0.74937,0.044178
0.053438,0.68926,0.71848,-0.030688,0.73497,0.047537
0.053445,0.55698,0.85171,-0.051018,0.70266,0.037893
0.053381,0.4245,0.98473,-0.084591,0.61413,0.022989
0.052901,0.29225,1.1177,-0.12954,0.52013,0.012211
0.052085,0.16266,1.2506,-0.15216,0.23442,0.003174
0.060115,0.049501,1.3835,-0.25465,0.11422,-0.0022954
1.5542,0.048857,0.05256,0.35493,-0.41872,0.0744
1.4217,0.16123,0.048016,0.42477,-0.5927,0.02394
1.4217,0.045712,0.17204,0.030726,-0.20975,0.26774
1.2891,0.29101,0.051055,0.40001,-0.8285,-0.0091658
1.2891,0.15792,0.16592,0.004396,-0.3222,0.080796
1.2891,0.049558,0.30826,-0.26397,-0.12681,0.21052
1.1565,0.42397,0.052371,0.38498,-0.94316,-0.016733
1.1562,0.29101,0.16977,0.029129,-0.47502,-0.019549
1.1562,0.16399,0.30574,-0.25057,-0.17958,0.033569
1.1565,0.051322,0.44636,-0.50409,-0.094521,0.11948
1.0237,0.55705,0.052784,0.3388,-0.90421,-0.0070812
1.0229,0.42409,0.17175,0.068041,-0.47502,-0.048848
1.0225,0.29423,0.30614,-0.1707,-0.27843,-0.041354
1.0229,0.16736,0.44455,-0.40499,-0.094662,0.0023805
1.0237,0.051908,0.58289,-0.65048,-0.075999,0.042041
0.89058,0.68958,0.052892,0.2518,-0.62519,0.0050248
0.88897,0.55679,0.17248,0.1013,-0.38452,-0.019271
0.8874,0.42528,0.30665,-0.075391,-0.25951,-0.048603
0.88738,0.29681,0.44343,-0.27946,-0.15775,-0.040585
0.88894,0.16868,0.58138,-0.49317,-0.0357,-0.013544
0.89056,0.052074,0.71765,-0.72868,-0.060418,0.0026728
0.75664,0.82178,0.052908,0.13572,-0.29225,0.0059296
0.7538,0.68913,0.1727,0.10284,-0.24455,-0.0033609
0.75051,0.55679,0.30698,-0.0042457,-0.18026,-0.02828
0.749,0.42649,0.44288,-0.15953,-0.11068,-0.043051
0.75043,0.29798,0.58004,-0.33721,-0.062767,-0.032937
0.75369,0.16901,0.71659,-0.52232,0.0038277,-0.018321
0.75658,0.05208,0.85137,-0.76731,-0.038715,-0.014876
0.62093,0.95386,0.052841,0.098662,-0.104,0.0070669
0.61656,0.82133,0.17268,0.097931,-0.091581,0.0090246
0.61129,0.68864,0.30725,0.037357,-0.049741,-0.011191
0.60751,0.55682,0.44293,-0.06422,-0.011238,-0.030011
0.60743,0.42688,0.57945,-0.20083,0.0271,-0.035352
0.61106,0.29796,0.71564,-0.35664,0.034215,-0.026897
0.6163,0.16871,0.85076,-0.53222,0.056123,-0.018103
0.62075,0.051928,0.98461,-0.76328,-0.01115,-0.019855
0.48199,1.0859,0.052506,0.10244,0.066093,0.0064725
0.47598,0.95354,0.17228,0.089051,0.087865,0.0092398
0.46909,0.82084,0.30756,0.055911,0.11703,-0.0050765
0.46348,0.68825,0.44377,-0.010527,0.14609,-0.021274
0.46118,0.5566,0.57993,-0.09403,0.17003,-0.029998
0.46331,0.42632,0.71549,-0.20099,0.17598,-0.027489
0.46869,0.29686,0.85031,-0.33685,0.14558,-0.019064
0.47546,0.16748,0.98433,-0.50088,0.11269,-0.01373
0.48158,0.051367,1.1176,-0.70841,0.020359,-0.017233
0.33903,1.218,0.051401,0.044108,0.27934,0.0033053
0.33063,1.0858,0.171,0.062069,0.29262,0.007795
0.32387,0.95331,0.30806,0.04541,0.31569,-0.00089931
0.319,0.82069,0.44525,0.013606,0.34231,-0.012672
0.31659,0.68828,0.58132,-0.030165,0.36501,-0.022142
0.3165,0.55646,0.71629,-0.094132,0.36415,-0.021107
0.31871,0.4253,0.85052,-0.18114,0.33234,-0.013682
0.32331,0.2946,0.98423,-0.29022,0.2665,-0.0068648
0.32973,0.16433,1.1176,-0.43423,0.17204,-0.0064853
0.33815,0.049663,1.2506,-0.59569,0.059926,-0.0096595
0.19394,1.3501,0.048988,0.051169,0.44452,0.0033189
0.1806,1.218,0.1687,0.052911,0.4896,0.0091147
0.17842,1.0858,0.30916,0.042967,0.50307,0.0044644
0.17694,0.95346,0.44725,0.029379,0.52866,0.0014885
0.17607,0.82112,0.58307,0.016064,0.55749,-0.0028375
0.17573,0.68889,0.71749,0.0047313,0.56819,-0.00027834
0.17596,0.55678,0.85116,-0.010521,0.55725,0.003726
0.17668,0.42454,0.98446,-0.082044,0.49734,0.0078775
0.17787,0.29188,1.1176,-0.15188,0.39648,0.0044376
0.17982,0.15871,1.2506,-0.25961,0.24423,0.00096875
